,,,,,,,,,,
"医療機関
コード",医療機関名称,郵便番号,住所,電話番号,院内接種,,,出張接種,,
A120046,斎藤産婦人科・眼科,272-0823,千葉県市川市東菅野５－１５－２２,047(337)1103,"3,080 ",×,,×,,
A120116,医療法人社団　青山会　船橋診療所,273-0011,千葉県船橋市湊町２－８－９,047(433)5105,"3,080 ",○,満16歳以上,×,,
A120176,医療法人社団　順孝会　なかむら内科消化器クリニック,273-0021,千葉県船橋市海神６－７－１２,047(433)4976,"3,080 ",○,満5歳以上,×,,
A120108,加藤内科クリニック,273-0035,"千葉県船橋市本中山２－１０－１
ミレニティ中山４Ｆ",047(302)6881,"3,080 ",○,満13歳以上,×,,
A120218,庄司内科,273-0101,千葉県鎌ケ谷市富岡１－６－５,047(445)9855,"3,080 ",○,満1歳以上,×,,
A120149,高橋医院,273-0103,千葉県鎌ケ谷市丸山１－１７－３１,047(445)9543,"3,000 ",○,満6歳以上,×,,
A120245,新鎌ヶ谷北口クリニック,273-0107,千葉県鎌ケ谷市新鎌ケ谷１－１４－３６,047(401)3376,"3,080 ",○,満3歳以上,×,,
A120248,医療法人社団　緑有会　かのう内科クリニック,273-0113,千葉県鎌ケ谷市道野辺中央２－５－１８,047(446)7122,"3,000 ",○,満13歳以上,×,,
A120207,医療法人社団協友会　船橋総合病院,273-0864,千葉県船橋市北本町１－１３－１,047(425)1151,"3,000 ",○,満16歳以上,○,"3,000 ",1事業所1回訪問30名以上
A120007,医療法人社団　良知会　共立習志野台病院,274-0063,千葉県船橋市習志野台４－１３－１６,047(466)3268,"3,080 ",○,0ヵ月以上,×,,
A120146,高根木戸診療所,274-0065,千葉県船橋市高根台４－２３－３,047(466)2203,"3,080 ",○,満6歳以上,○,"3,080 ",1事業所1回訪問20名以上
A120042,ならしの内科外科,274-0072,千葉県船橋市三山２－１－１１,047(403)8400,"3,080 ",○,満13歳以上,×,,
A120114,医療法人社団　朋友会　庭野クリニック,274-0077,千葉県船橋市薬円台５－２０－３,047(466)1347,"3,080 ",○,満1歳以上,×,,
A120180,医療法人社団　弘成会　コミュニティクリニックみさき,274-0812,千葉県船橋市三咲３－１－１５,047(440)1512,"3,000 ",○,6ヵ月以上,×,,
A120127,医療法人社団　星医会　山本医院,274-0814,千葉県船橋市新高根４－７－８,047(465)5566,"3,080 ",○,満1歳以上,×,,
A120171,いとう内科循環器科クリニック,274-0823,千葉県船橋市二宮１－５－４,047(465)2000,"2,500 ",○,6ヵ月以上,×,,
A120165,医療法人社団　徳照会　いとう耳鼻咽喉科,274-0824,千葉県船橋市前原東２－２３－２,047(473)8733,"3,000 ",○,満7歳以上,×,,
A120143,医療法人社団　佑仁会　クリニック津田沼,274-0825,千葉県船橋市前原西２－７－４,047(478)5505,"3,080 ",○,満13歳以上,×,,
A120211,医療法人社団和康会　ほしかわクリニック,275-0002,千葉県習志野市実籾２－１５－２３,047(470)5505,"3,080 ",○,満13歳以上,×,,
A120247,石原医院,275-0017,千葉県習志野市藤崎３－２６－６,047(479)2241,"3,000 ",○,満3歳以上,×,,
A120167,医療法人社団　幕張インター外科,275-0021,千葉県習志野市袖ケ浦５－１９－２,047(454)2388,"3,080 ",○,満4歳以上,×,,
A120184,医療法人社団　銀杏会　みつば内科,275-0026,"千葉県習志野市谷津１－１６－１
モリシア津田沼レストラン棟４Ｆ",047(470)3223,"3,000 ",○,満3歳以上,×,,
A120206,メディカルスクエア　奏の杜クリニック,275-0028,"千葉県習志野市奏の杜２－１－１
奏の杜フォルテ２階",047(406)5000,"3,080 ",○,満15歳以上,×,,
A120215,社会医療法人社団菊田会　習志野第一病院,275-8555,千葉県習志野市津田沼５－５－２５,047(454)1511,"3,080 ",○,満10歳以上,×,,
A120091,戸叶外科胃腸科医院,276-0036,千葉県八千代市高津７３４－２,047(450)0109,"3,000 ",○,満13歳以上,×,,
A120217,佐々木クリニック,276-0042,"千葉県八千代市ゆりのき台４－１－８
ベェルジェールゆりのき２階",047(480)8888,"3,080 ",○,満7歳以上,×,,
A120239,浜野胃腸科外科医院,276-0046,"千葉県八千代市大和田新田
１１４６－１０",047(450)8822,"3,080 ",○,満3歳以上,×,,
A120132,医療法人社団昭和会　昭和医院,277-0005,千葉県柏市柏３－１１－８,04(7167)5333,"3,080 ",○,満3歳以上,×,,
A120008,医療法人社団　聖秀会　聖光ヶ丘病院健診センター,277-0062,千葉県柏市光ヶ丘団地２－３,04(7171)5801,"3,000 ",○,満7歳以上,×,,
A120172,医療法人社団　エターナルウッド会　森永胃腸科外科,277-0071,千葉県柏市豊住４－４－３０,04(7166)3333,"3,080 ",○,満15歳以上,×,,
A120173,つくしが丘医院,277-0072,千葉県柏市つくしが丘１－６－１,04(7172)2024,"3,000 ",○,6ヵ月以上,×,,
A120104,医療法人社団　爽気会　なのはな内科アレルギー科,277-0841,千葉県柏市あけぼの４－４－２５－１Ｆ,04(7142)3300,"3,080 ",○,0ヵ月以上,×,,
A120088,新保クリニック,277-0843,"千葉県柏市明原３－３－１２
折戸ビル１階３号室",04(7190)5151,"3,080 ",○,満1歳以上,×,,
A120097,医療法人社団　協友会　柏厚生総合病院,277-0862,千葉県柏市篠籠田６１７,04(7148)0342,"3,080 ",○,満16歳以上,×,,
A120110,医療法人社団　大晟会　大和田ファミリークリニック,277-0863,千葉県柏市豊四季３０１－７,04(7141)7555,"3,080 ",○,0ヵ月以上,×,,
A120198,医療法人社団全生会　江戸川病院,278-0022,千葉県野田市山崎２７０２,04(7124)5511,"3,000 ",○,満13歳以上,×,,
A120213,医療法人社団　啓心会　七光台クリニック,278-0057,千葉県野田市光葉町１－８－６,04(7197)2302,"3,000 ",○,6ヵ月以上,×,,
A120078,医療法人社団　かつなんクリニック,279-0001,千葉県浦安市当代島３－５－１,047(355)1350,"3,000 ",○,満19歳以上,×,,
A120087,杉山クリニック,279-0001,"千葉県浦安市当代島１－１－１１
フォーレストビル５階",047(311)4109,"3,080 ",○,満15歳以上,×,,
A120225,医療法人社団禎心会　浦安サンクリニック,279-0002,"千葉県千葉県浦安市北栄１－１６－１７
原勝ビル４階",047(380)5677,"2,500 ",○,満1歳以上,×,,
A120038,第２上田クリニック附属　上田クリニック検診センター,279-0004,千葉県浦安市猫実３－１８－１７,047(316)6006,"3,080 ",○,満1歳以上,×,,
A120071,医療法人社団泰山会山本医院,279-0004,"千葉県浦安市猫実２－３１－１０
吉間屋第二ビル１Ｆ",047(390)0311,"3,080 ",○,満1歳以上,×,,
A120205,上田クリニック,279-0004,千葉県浦安市猫実３－１８－１２,047(354)1711,"3,080 ",○,満1歳以上,×,,
A120084,順風会　小林クリニック,279-0012,"千葉県浦安市入船１－４－１
ショッパーズプラザ新浦安６階",047(381)2200,"3,080 ",○,満15歳以上,×,,
A120034,医療法人社団　清美会　マリンクリニック,279-0012,"千葉県浦安市入船４－１－１
新浦安中央ビル２階",047(382)3838,"3,080 ",○,満1歳以上,×,,
A120191,医療法人社団　ちくま会　メディカルガーデン新浦安,279-0013,千葉県浦安市日の出１－１－２５,047(709)3801,"3,080 ",○,満12歳以上,×,,
A120011,医療法人社団　健勝会　浦安ふじみクリニック,279-0043,千葉県浦安市富士見２－１８－９,047(355)5353,"3,080 ",×,,×,,
A120037,医療法人社団　國手会空港クリニック,282-0011,千葉県成田市三里塚御料牧場１,0476(32)8877,"3,000 ",○,満1歳以上,×,,
A120152,（医）社団今井会　今井医院,283-0005,千葉県東金市田間１１３０,0475(52)0276,"3,080 ",○,満1歳以上,×,,
A120026,医療法人社団　豊翔会　天野内科クリニック,283-0066,"千葉県東金市南上宿５－３４－４
東総ビル２Ｆ",0475(55)3986,"3,080 ",○,満1歳以上,×,,
A120219,医療法人社団　大喜会　斉藤クリニック,283-0811,千葉県東金市台方２０５８－１,0475(53)1110,"3,000 ",○,満1歳以上,×,,
A120086,板倉医院,284-0005,千葉県四街道市四街道１－６－７,043(422)2252,"3,000 ",○,満1歳以上,×,,
A120233,医療法人　社団　佐倉順天堂医院,285-0037,千葉県佐倉市本町８１,043(484)2341,"3,000 ",○,満1歳以上,×,,
A120220,医療法人社団　志津南クリニック,285-0844,千葉県佐倉市上志津原３６－５,043(462)6616,"3,080 ",○,満1歳以上,×,,
A120243,医療法人社団葉月会　成尾医院,285-0846,千葉県佐倉市上志津１６６９－５０,043(462)6400,"3,000 ",○,満1歳以上,×,,
A120049,天本クリニック,285-0858,"千葉県佐倉市ユーカリが丘６－４－７
Ｒビル２Ｆ",043(461)8823,"2,500 ",○,満1歳以上,×,,
A120036,医療法人社団　國手会藤倉クリニック,286-0028,千葉県成田市幸町４８３,0476(22)1158,"3,000 ",○,満1歳以上,○,"3,000 ",1事業所1回訪問30名以上
A120137,坂本医院,287-0001,千葉県香取市佐原ロ２０２８－４３,0478(52)3381,"3,000 ",○,満3歳以上,×,,
A120130,日新外科胃腸科医院,287-0002,千葉県香取市北３－１３－１０,0478(54)5977,"3,000 ",○,満1歳以上,×,,
A120170,医療法人社団　彰考会　あいざわクリニック,287-0003,千葉県香取市佐原イ２４０３－１,0478(55)8001,"3,000 ",○,満1歳以上,×,,
A120157,浅利クリニック,288-0814,千葉県銚子市春日町１２４６－３,0479(20)1888,"3,000 ",○,満1歳以上,×,,
A120177,吉野クリニック,288-0836,千葉県銚子市松岸町４－７７８－５１,0479(25)7008,"2,300 ",○,6ヵ月以上,×,,
A120144,医療法人社団　玉川会　篠塚医院,289-0302,千葉県香取市三ノ分目２５５－７,0478(82)2588,"3,000 ",○,満1歳以上,×,,
A120236,医療法人社団　誠和会　長谷川病院,289-1103,千葉県八街市八街に８５,043(444)0137,"2,800 ",○,満1歳以上,×,,
A120166,医療法人社団　愛聖会　八街こどもクリニック,289-1114,千葉県八街市東吉田５１７－５７,043(440)6681,"3,080 ",○,6ヵ月以上,×,,
A120022,春日クリニック,289-1212,千葉県山武市木原２０２－１０,0475(88)1110,"3,080 ",○,満15歳以上,×,,
A120138,守　医院,289-2102,千葉県匝瑳市椿１２６８,0479(73)5511,"2,900 ",○,0ヵ月以上,×,,
A120070,大木内科医院,289-2241,千葉県香取郡多古町多古２５３１,0479(76)2904,"2,500 ",○,0ヵ月以上,×,,
A120010,医療法人社団　裕人会　辰巳台クリニック,290-0003,千葉県市原市辰巳台東３－１５－２,0436(76)8800,"3,000 ",○,満1歳以上,×,,
A120025,医療法人社団高原会　原村医院,290-0041,千葉県市原市玉前７６,0436(21)1259,"3,080 ",○,満1歳以上,×,,
A120067,西岡クリニック,290-0141,千葉県市原市ちはら台東１－２－１３,0436(50)5855,"3,080 ",○,満1歳以上,×,,
A120175,社会医療法人社団さつき会　かずさアカデミアクリニック,292-0818,千葉県木更津市かずさ鎌足２－３－９,0438(52)0211,"3,080 ",○,満16歳以上,×,,
A120133,たなかハートクリニック,293-0001,千葉県富津市大堀４－１－２４,0439(80)1137,"3,000 ",○,6ヵ月以上,×,,
A120122,医療法人社団　三東会　竹内医院,293-0001,千葉県富津市大堀２－１４－１５,0439(87)0012,"3,080 ",○,6ヵ月以上,×,,
A120131,医療法人社団　清川整形外科,294-0018,千葉県館山市国分９０９－１,0470(23)7033,"3,080 ",○,満6歳以上,×,,
A120164,たてやま友愛クリニック,294-0045,千葉県館山市北条１３５５－４０,0470(20)1200,"3,080 ",○,6ヵ月以上,×,,
A120174,たてやま循環器内科外科,294-0045,千葉県館山市北条２４１６－３０,0470(20)1102,"3,000 ",○,満1歳以上,×,,
A120193,医療法人社団　さわしん会　富士見クリニック,297-0017,千葉県茂原市東郷２０００,0475(20)2585,"3,080 ",○,6ヵ月以上,○,"3,080 ",1事業所1回訪問50名以上
A120014,渡辺医院,297-0073,千葉県茂原市長尾２５９２,0475(27)7733,"3,080 ",○,0ヵ月以上,×,,
A120203,医療法人社団　慈協会　市原メディカルキュア,299-0111,千葉県市原市姉崎６５８,0436(61)0519,"2,700 ",○,満5歳以上,×,,
A120048,こむらクリニック,299-0111,"千葉県市原市姉崎５２４－１
小泉ビル３Ｆ",0436(60)7230,"3,000 ",×,,×,,
A120017,社会医療法人社団さつき会　袖ヶ浦さつき台病院,299-0246,千葉県袖ケ浦市長浦駅前５－２１,0438(62)1113,"3,080 ",○,満16歳以上,×,,
A120003,医療法人社団　福徳会　福王台外科内科,299-0261,千葉県袖ケ浦市福王台１－１０－９,0438(62)3881,"3,080 ",○,満1歳以上,×,,
A120077,茂田大和田クリニック,299-1146,千葉県君津市大和田５－１－２,0439(50)8877,"3,080 ",○,満1歳以上,×,,
A120112,医療法人社団　君津あすなろ会　あすなろクリニック,299-1152,千葉県君津市久保１－２－２,0439(50)0100,"3,000 ",○,満12歳以上,×,,
A120023,医療法人社団　今城会　君津クリニック,299-1163,千葉県君津市杢師１－１－１,0439(55)8111,"3,080 ",○,満1歳以上,×,,
A120196,医療法人社団　寿光会　岬病院,299-4504,千葉県いすみ市岬町桑田２５３１,0470(87)7811,"3,000 ",○,満16歳以上,×,,
A130574,パレスクリニック,100-0003,"東京都千代田区一ツ橋１－１－１
パレスサイドビル１Ｆ",03(3213)2855,"3,080 ",○,満20歳以上,×,,
A130613,医療法人社団　榊原厚生会　榊原サピアタワークリニック,100-0005,"東京都千代田区丸の内１－７－１２
サピアタワー７Ｆ",03(5288)0011,"3,080 ",○,満16歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130527,一般財団法人　日本がん知識普及協会　付属　有楽町電気ビルクリニック,100-0006,東京都千代田区有楽町１－７－１,03(3213)0091,"3,080 ",○,満15歳以上,○,"3,080 ",1事業所1回訪問100名以上
A130192,医療法人社団　中興会　内外クリニック,100-0006,"東京都千代田区有楽町０番地
銀座インズ３",03(3562)5971,"3,080 ",○,満13歳以上,×,,
A130019,医療法人社団　青十字会　日比谷国際クリニック,100-0011,"東京都千代田区内幸町２－２－３
日比谷国際ビル地下１階",03(3503)3440,"3,080 ",×,,×,,
A130727,一般財団法人　健康医学協会　附属　霞が関ビル診療所,100-6003,"東京都千代田区霞が関３－２－５
霞が関ビル３階",03(3581)6031,"3,080 ",○,満13歳以上,×,,
A130805,読売健康保険組合　読売クリニック,100-8055,"東京都千代田区大手町１－７－１
読売新聞ビル６Ｆ",03(3216)8681,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130032,医療法人社団友好会　秋葉原メディカルクリニック,101-0021,"東京都千代田区外神田１－１６－９
朝風二号館ビル６Ｆ",03(3280)5877,"3,080 ",○,満13歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130471,医療法人社団　慶洋会　ケイアイ秋葉原クリニック,101-0023,"東京都千代田区神田松永町１１
ＡＴ第一ビル３～５階",03(3255)8755,"3,000 ",○,満13歳以上,○,"2,800 ",1事業所1回訪問80名以上
A130890,医療法人社団すずかけ会　秋葉原シティクリニック,101-0025,"東京都千代田区神田佐久間町２－１８－
５　アークビル５階",03(5839)2920,"3,080 ",○,満15歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130473,医療法人財団　同仁記念会　明和病院　健診センター,101-0041,"東京都千代田区神田須田町１－１８
３階",03(3251)0271,"3,080 ",○,満6歳以上,×,,
A130341,二宮内科クリニック,101-0044,"東京都千代田区鍛冶町１－９－１
第２大久保ビル３Ｆ",03(3254)5007,"3,000 ",○,満13歳以上,×,,
A130850,奥田医院,101-0046,東京都千代田区神田多町２－９,03(3254)0701,"2,900 ",○,満1歳以上,×,,
A130099,医療法人社団　裕健会　神田クリニック健康管理センター,101-0047,東京都千代田区内神田２－４－１,03(3252)0763,"3,080 ",○,満20歳以上,×,,
A130016,医療法人財団　福音医療会　神田キリスト教診療所,101-0052,東京都千代田区神田小川町１－５－１,03(5283)8119,"3,000 ",○,満18歳以上,○,"3,000 ",1事業所1回訪問100名以上
A130143,小川町メディカルクリニック,101-0052,"東京都千代田区神田小川町２－１２
進興ビルＢ１Ｆ",03(5848)4355,"2,880 ",○,満15歳以上,○,"3,080 ",1事業所1回訪問30名以上
A130598,公益財団法人　結核予防会　第一健康相談所　総合健診センター,101-0061,東京都千代田区三崎町１－３－１２,03(3292)9215,"3,080 ",○,満20歳以上,×,,
A130462,医療法人社団　済安堂　井上眼科病院,101-0062,東京都千代田区神田駿河台４－３,03(3295)0911,"3,080 ",○,満16歳以上,×,,
A130367,水道橋メディカルクリニック,101-0065,"東京都千代田区西神田
１－４－１１－３０１",03(3518)6127,"3,000 ",×,,×,,
A130472,医療法人社団　慶洋会　ケイアイ飯田橋クリニック,102-0072,"東京都千代田区飯田橋３－１０－１０
ガーデン・エア・タワー２階",03(3239)2777,"3,000 ",○,満13歳以上,○,"2,800 ",1事業所1回訪問80名以上
A130160,医療法人社団　博心厚生会　九段クリニック,102-0073,東京都千代田区九段北１－９－５,03(3222)0071,"3,080 ",×,,×,,
A130561,佐々木内科クリニック,102-0083,"東京都千代田区麹町４－４－６
麹町４丁目小倉ビル２Ｆ",03(3264)3635,"3,080 ",○,6ヵ月以上,×,,
A130558,半蔵門心療クリニック,102-0083,"東京都千代田区麹町１－１０
澤田麹町ビルＢ１Ｆ",03(3263)3251,"3,000 ",○,満18歳以上,×,,
A130812,麹町クリニック,102-0083,"東京都千代田区麹町３－４－７
啓ビル５階",03(3238)7654,"3,000 ",○,0ヵ月以上,×,,
A130816,医療法人社団　あんしん会　四谷メディカルキューブ,102-0084,東京都千代田区二番町７－７,03(3261)0488,"3,080 ",○,満20歳以上,×,,
A130738,常喜医院,102-0085,"東京都千代田区六番町７－１
番町グロリアビル１階",03(5226)7557,"3,080 ",○,満1歳以上,○,"3,080 ",1事業所1回訪問20名以上
A130719,大森胃腸科,102-0092,東京都千代田区隼町２－１５,03(3234)6226,"3,080 ",○,満2歳以上,×,,
A130726,一般財団法人　健康医学協会　附属　東都クリニック,102-0094,"東京都千代田区紀尾井町４－１
ホテルニューオータニガーデンタワー２Ｆ",03(3239)0302,"3,080 ",○,満13歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130721,医療法人社団　墨水会　浜町センタービルクリニック,103-0007,"東京都中央区日本橋浜町２－３１－１
浜町センタービル７階",03(3664)6858,"3,080 ",○,満18歳以上,×,,
A130887,医療法人社団　進興会　浜町公園紙商健診クリニック,103-0007,"東京都中央区日本橋浜町２－４２－１０
東京紙商健保会館",03(5643)2300,"3,080 ",○,満18歳以上,×,,
A130355,医療法人社団　高柳耳鼻咽喉科,103-0013,"東京都中央区日本橋人形町２－２１－１
ＦＳビル２階",03(3667)7764,"3,080 ",○,満1歳以上,×,,
A130766,ＫＫＣウエルネス東京日本橋健診クリニック,103-0015,"東京都中央区日本橋箱崎町５－１４
アルゴ日本橋ビル１階",03(5500)6777,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130778,医療法人社団　鴎盟会　つぶく医院,103-0016,東京都中央区日本橋小網町３－１２,03(3666)1687,"3,000 ",○,満3歳以上,×,,
A130353,医療法人社団　小池医院,103-0022,東京都中央区日本橋室町１－１２－９,03(3271)0813,"3,080 ",○,0ヵ月以上,×,,
A130119,医療法人社団　中央みなと会　三井タワークリニック,103-0022,"東京都中央区日本橋室町２－１－１
日本橋三井タワー５Ｆ",03(3510)9955,"3,000 ",○,満16歳以上,×,,
A130822,古川内科クリニック,103-0023,東京都中央区日本橋本町４－１５－１０,03(3661)2506,"3,080 ",○,満13歳以上,×,,
A130007,医療法人社団　光人会　新日本橋石井クリニック,103-0024,東京都中央区日本橋小舟町８－６,03(3662)5901,"3,080 ",×,,×,,
A130017,ファーストメディカルクリニック,103-0024,"東京都中央区日本橋小舟町１５－１７
日本橋協栄ビル",03(5643)3171,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130716,日本橋茅場町耳鼻咽喉科・アレルギー科,103-0025,"東京都中央区日本橋茅場町２－８－１０
碧山ビル３Ｆ",03(3669)2085,"2,500 ",○,6ヵ月以上,×,,
A130033,医療法人社団兜中央会　中島クリニック,103-0026,東京都中央区日本橋兜町８－８,03(3666)0881,"3,080 ",×,,○,"3,080 ",1事業所1回訪問100名以上
A130552,医療法人社団　遼風会　栗原クリニック東京・日本橋,103-0027,"東京都中央区日本橋３－２－６
岩上ビル２階",03(3516)2200,"3,080 ",○,満18歳以上,×,,
A130242,日本橋えがわクリニック,103-0028,"東京都中央区八重洲１－１－３
寿ビル２Ｆ",03(5204)0311,"3,080 ",×,,×,,
A130430,八重洲ヤヨイクリニック,103-0028,"東京都中央区八重洲１－９－１３
八重洲ヤヨイビル６Ｆ",03(5204)0841,"3,080 ",×,,×,,
A130644,医療法人扶桑会（財団）　中田診療所,104-0031,東京都中央区京橋２－８－１６,03(3561)6568,"3,080 ",○,満13歳以上,×,,
A130557,医療法人社団　ＢＯＨ　細野クリニック,104-0031,"東京都中央区京橋１－６－１１
カンケン京橋ビル２Ｆ",03(3563)0577,"2,600 ",○,満3歳以上,×,,
A130713,医療法人社団ミッドタウンクリニック　東京ダイヤビルクリニック,104-0033,"東京都中央区新川１－２８－２５
東京ダイヤビルディング３号館１Ｆ",03(3551)7737,"3,080 ",○,満16歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130013,医療法人社団　中央みなと会　中央みなとクリニック,104-0044,"東京都中央区明石町８－１
聖路加タワー２階",03(5565)9955,"3,000 ",○,満16歳以上,×,,
A130122,医療法人社団　裕健会　築地クリニック,104-0045,"東京都中央区築地６－２５－１０
築地センタービル２・３Ｆ",03(3549)6661,"3,080 ",×,,×,,
A130616,清水内科クリニック,104-0045,東京都中央区築地６－２－８,03(3541)0446,"3,000 ",○,満1歳以上,×,,
A130797,慶友銀座クリニック,104-0045,東京都中央区築地１－１３－１１－２Ｆ,03(3542)3387,"3,080 ",○,0ヵ月以上,×,,
A130233,医療法人社団慶仁舎　月島タワークリニック,104-0052,"東京都中央区月島２－１０－２
ムーンアイランドタワー２Ｆ－２０２",03(6219)7151,"3,000 ",○,満1歳以上,×,,
A130333,松本クリニック銀座,104-0061,"東京都中央区銀座７－１５－３
第５安田ビル２Ｆ",03(3544)8171,"3,000 ",×,,×,,
A130799,レイクリニック,104-0061,"東京都中央区銀座６－７－７
第３岩月ビル６階",03(3569)3255,"3,080 ",○,満20歳以上,×,,
A130654,医療法人社団東会　やべ耳鼻咽喉科,104-0061,"東京都中央区銀座１－６－１３
１０６ギンザビル４Ｆ",03(3538)6366,"3,000 ",○,満1歳以上,×,,
A130630,銀座ハートクリニック,104-0061,"東京都中央区銀座５－１３－１４
銀座オリオルビル２Ｆ",03(5148)3921,"3,080 ",○,0ヵ月以上,×,,
A130040,医療法人財団　百葉の会　銀座医院　健康管理センター,104-0061,"東京都中央区銀座４－１２－１５
歌舞伎座タワー１６Ｆ",03(3541)3340,"3,080 ",○,満15歳以上,○,"3,080 ",1事業所1回訪問100名以上
A130035,ＢＯＯＣＳホリスティッククリニック東京,104-0061,"東京都中央区銀座３－４－１
大倉別館４Ｆ",03(5159)7151,"3,000 ",×,,×,,
A130124,医療法人社団　神和会　銀座富士クリニック,104-0061,東京都中央区銀座４－１１－２,03(3542)8371,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問100名以上
A130631,医療法人社団　泰山会　虎の門診療所,105-0001,東京都港区虎ノ門１－１－２５－５Ｆ,03(3502)3988,"3,080 ",○,満13歳以上,×,,
A130438,神谷町クリニック,105-0001,"東京都港区虎ノ門３－１７－１
ＴＯＫＹＵＲＥＩＴ虎ノ門ビル１階",03(3433)0343,"3,000 ",○,満12歳以上,×,,
A130635,医療法人社団藤美会　藤美クリニック,105-0001,"東京都港区虎ノ門１－１３－５
第一天徳ビル２階",03(3501)3705,"3,000 ",○,満15歳以上,×,,
A130893,医療法人社団霞山会　霞山診療所,105-0003,"東京都港区西新橋１－１－３
東京桜田ビル２階",03(6452)5100,"2,900 ",○,満15歳以上,○,"2,900 ",1事業所1回訪問30名以上
A130793,西新橋みむろクリニック,105-0003,"東京都港区西新橋１－５－９
ＴＳビル４階",03(5251)8256,"3,080 ",○,満6歳以上,×,,
A130008,医療法人社団　進興会　セラヴィ新橋クリニック,105-0003,"東京都港区西新橋２－３９－３
ＳＶＡＸ西新橋ビル",03(5408)8181,"3,080 ",○,満16歳以上,○,"3,080 ",1事業所1回訪問90名以上
A130605,日比谷公園クリニック,105-0004,"東京都港区新橋１－１８－１
航空会館４Ｆ",03(3595)0781,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問30名以上
A130334,新橋アレルギー・リウマチクリニック,105-0004,"東京都港区新橋２－１６－１
ニュー新橋ビル３階３１８",03(3591)5464,"3,080 ",○,満1歳以上,×,,
A130045,医療法人社団　新青会　新橋青木クリニック,105-0004,東京都港区新橋３－２３－４,03(3432)0381,"3,080 ",○,満1歳以上,×,,
A130029,シーエスケー・クリニック,105-0004,"東京都港区新橋１－１３－１２
堤ビル４Ｆ",03(5157)5121,"3,000 ",×,,○,"3,000 ",1事業所1回訪問50名以上
A130027,医療法人社団　ケイセイ会　パークサイドクリニック,105-0011,"東京都港区芝公園２－６－８
日本女子会館ビル２Ｆ",03(3434)7800,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問100名以上
A130774,医療法人社団　生栄会　浜松町メディカルクリニック,105-0012,"東京都港区芝大門２－３－１１
芝清水ビル１Ｆ",03(6809)2152,"3,080 ",○,満1歳以上,×,,
A130359,医療法人社団　弘和会　芝公園クリニック,105-0014,東京都港区芝３－１５－５－３Ｆ,03(3455)5525,"3,000 ",○,満13歳以上,×,,
A130769,医療法人社団　健勝会　港三田クリニック,105-0014,"東京都港区芝５－１６－１
千代ビル３Ｆ",03(3456)3391,"3,080 ",○,満1歳以上,×,,
A130023,医療法人社団　土合会　汐留シティセンターセントラルクリニック,105-0021,"東京都港区東新橋１－５－２
汐留シティセンター３Ｆ",03(5568)8700,"3,080 ",×,,○,"3,080 ",1事業所1回訪問100名以上
A130714,医療法人社団ミッドタウンクリニック　浜松町ハマサイトクリニック,105-0022,"東京都港区海岸１－２－２０
汐留ビルディング２Ｆ",03(5472)1100,"3,080 ",○,満16歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130610,芝浦スリーワンクリニック,105-0023,"東京都港区芝浦１－１－１
浜松町ビルディング１Ｆ",03(6779)8181,"3,080 ",○,満15歳以上,×,,
A130802,医療法人社団東京桜十字　桜十字赤坂健診クリニック,105-0052,"東京都港区赤坂３－２１－１３
ヒューリック赤坂ビル２階",03(5549)1901,"3,080 ",○,満18歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130039,医療法人社団　東京桜十字　城山ヒルズクリニック,105-6003,"東京都港区虎ノ門４－３－１
城山トラストタワー３Ｆ",03(6854)1220,"3,080 ",○,満12歳以上,○,"2,950 ",1事業所1回訪問200名以上
A130578,汐留ガーデンクリニック,105-7090,"東京都港区東新橋１－８－２
カレッタ汐留Ｂ１",03(5537)8080,"3,080 ",○,満10歳以上,○,"3,080 ",1事業所1回訪問50名以上
A130845,伊原医院,105-7290,"東京都港区東新橋１－７－１
汐留メディアタワー地下２階",03(3573)1800,"3,000 ",○,満3歳以上,○,"3,000 ",1事業所1回訪問10名以上
A130360,医療法人社団　光輝会　麻布光輝クリニック,106-0031,東京都港区西麻布３－３－２,03(6240)2912,"3,000 ",○,満1歳以上,○,"3,000 ",1事業所1回訪問10名以上
A130038,医療法人社団　東京桜十字　泉ガーデンクリニック,106-0032,"東京都港区六本木１－６－３
泉ガーデンウイングＢ１Ｆ",03(6854)1220,"3,080 ",○,満12歳以上,○,"2,800 ",1事業所1回訪問400名以上
A130815,さくら坂クリニック　ＳｏｐｈｙＡｎｃｅ,106-0032,"東京都港区六本木７－７－１３
アトラスタワー六本木２Ｆ",03(6439)1184,"3,080 ",○,満18歳以上,×,,
